sample_id,group,motif,sf_wale,sf_course,pressure,cable_angle,crown_height,cable_tension,mean_stress,L_def_mm,L_flat_mm,L_ratio
205,motif1_cable,1,1.1314525775170785,1.1309004417633648,964.8537558285798,99.50004008354745,0.12702309,0.0,2190.13772166,3976.635952430978,1196.27364,3.324185888130895
206,motif1_cable,1,0.8304099686742665,0.9982196186138164,1170.312493859701,39.51878685122242,0.27699179,0.0,1805.35023306,4425.898819990556,1196.27364,3.6997378124879163
207,motif1_cable,1,0.943408257422632,0.9426874940017312,439.63401766318384,172.00645932223645,0.23286113,0.0,574.44532705,4239.412329540997,1196.27364,3.54384832013936
208,motif1_cable,1,1.3127511653391326,0.8395179775401787,669.534439452737,28.927183713155912,0.13457196,100.00918824,2245.11696955,4097.972446316457,1196.27364,3.425614599613227
209,motif1_cable,1,0.9057762515420802,1.326833290583191,753.0412794749792,44.233610472119125,0.05022804,0.0,4810.37573897,3893.807454284982,1196.27364,3.25494713256825
210,motif1_cable,1,0.8014296339273019,0.8070130794394569,871.5403523122424,114.32348610260246,0.0,0.0,2219.07081429,3871.726376752327,1196.27364,3.236488916325472
211,motif1_cable,1,1.1365204167851743,1.2710279907748696,1128.919141024701,165.00776491191397,0.08779719,0.0,4015.72638629,3926.402928881938,1196.27364,3.282194639749764
212,motif1_cable,1,1.1030771882773287,0.936467739517404,516.0348647845467,34.29553793462195,0.18550954,0.0,891.62960347,4092.7406078311783,1196.27364,3.421241153346135
213,motif1_cable,1,1.1093832872700513,1.038323401258151,1096.2002713158204,102.25137068312554,0.19093279,0.0,1501.52629208,4092.60875323528,1196.27364,3.4211309322466392
214,motif1_cable,1,1.2132510406621906,1.1098188065170778,429.0448755085529,2.943809339353025,0.05987902,29.93992225,1791.88289458,3893.4960991604985,1196.27364,3.2546868617455273
