sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,L_rest,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path
267,motif1_cable,1,True,0.9887759178186107,1.1875930491558524,11.774006604280572,798.1212397115611,1.399462652014822,0.11615943,3159.12902628,2852.34662372,0.0,148.66930107,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00267_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00267_stress.csv
268,motif1_cable,1,True,1.4577740531275991,1.2862232422405462,78.72881841568646,1103.439886018607,1.3843878043287667,0.06918739,4755.37740951,4710.53025913,0.0,266.85537549,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00268_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00268_stress.csv
212,motif1_cable,1,True,1.2030771882773288,1.036467739517404,36.75807158902107,652.8278918276374,1.2785796149455182,0.11030711,2199.54209065,1357.99255337,272.65415754,77.93274627,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00212_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00212_stress.csv
213,motif1_cable,1,True,1.2093832872700514,1.138323401258151,23.160976784921836,1116.9602170526564,1.3352094755692712,0.1308382,2973.2382975,2439.22086647,108.0767109,126.05906264,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00213_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00213_stress.csv
271,motif1_cable,1,True,1.0748729842612614,1.4176638559496855,18.591681500291546,833.3001137909262,1.2859809382369958,0.04326917,7459.4947341,6249.10837751,245.17674782,358.06300099,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00271_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00271_stress.csv
272,motif1_cable,1,True,1.2194749434086836,1.4908443014062187,44.77546199553848,916.6884872573318,1.320779679048752,0.04020194,7775.13517744,7546.42150568,39.98985657,419.46779724,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00272_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00272_stress.csv
273,motif1_cable,1,True,1.3885879161968218,1.4794031286418208,40.11615337773041,985.1103854029027,1.355952001418772,0.04293867,7506.07198447,7476.01004209,0.0,399.02466477,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00273_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00273_stress.csv
274,motif1_cable,1,True,1.0260231172626029,1.392599107391169,66.03775922718042,643.9318976807723,1.32120261135247,0.0377047,5914.01059901,5805.79788205,22.72883825,333.2674578,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00274_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00274_stress.csv
228,motif1_cable,1,True,1.1723175397714156,1.1085563156639264,36.112307154882714,710.4723811647935,1.2729667458769034,0.09756699,3144.3839624,1850.75799526,297.20842726,100.09624601,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00228_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00228_stress.csv
276,motif1_cable,1,True,1.4078033378055563,1.3581234801513842,58.14330297824847,1150.1889308122654,1.318179060171982,0.06312166,5935.15245874,5588.29659663,73.56307864,298.39235424,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00276_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00276_stress.csv
277,motif1_cable,1,True,1.1357180894693593,1.0513816413917332,75.72298248261788,886.7690243258022,1.381226859684248,0.16791466,1711.72688111,1462.36455899,25.43309508,73.62246905,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00277_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00277_stress.csv
278,motif1_cable,1,True,1.144830399772609,1.1400418561324988,70.43708249843384,749.6616444458966,1.2995191864409323,0.10073556,2804.51588391,2174.18287959,143.70479386,111.86784291,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00278_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00278_stress.csv
270,motif1_cable,1,True,1.3305011361363857,1.2827153923373693,27.753553333270983,1057.7417050435838,1.31971204309925,0.07397137,4712.81788831,4348.28598628,79.34976754,231.65853549,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00270_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00270_stress.csv
279,motif1_cable,1,True,1.3238714939783147,1.2754242550153936,28.77720306310057,1127.7978167036572,1.3569167033829648,0.08413659,4383.14159054,4272.24462108,0.0,230.80630025,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00279_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00279_stress.csv
281,motif1_cable,1,True,1.419496654080278,1.131546719449532,18.995501538477605,1182.910720821305,1.2927574980796663,0.09579747,3622.41633693,3008.9263488,243.2245028,184.08048539,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00281_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00281_stress.csv
282,motif1_cable,1,True,1.0388862123728537,1.2436586123184425,1.1322713455361568,939.521629407224,1.3334018195752366,0.09411094,3863.08045508,3584.10126445,46.19119903,183.81767558,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00282_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00282_stress.csv
283,motif1_cable,1,True,1.15899769433734,0.997994422314758,24.00369858193508,693.4070430467704,1.3476830357930225,0.1574564,1447.92622233,1113.13672001,99.3914869,59.7468621,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00283_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00283_stress.csv
275,motif1_cable,1,True,1.1367869143897418,1.092205008077974,49.862518816365466,1050.82032212057,1.3982897262098979,0.17453537,2177.8406604,1969.4786949,0.0,101.15630542,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00275_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00275_stress.csv
285,motif1_cable,1,True,1.2617174169833896,1.338761220509466,7.861446140552577,784.7160144751106,1.3108022604047513,0.05048106,5430.40517487,5007.52656334,96.42870839,264.97805494,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00285_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00285_stress.csv
286,motif1_cable,1,True,1.4690108910381332,1.2673397745422998,63.46501449140045,625.528830701104,1.2910486891991018,0.03845088,5027.65226597,4417.31339332,174.54630852,256.58968813,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00286_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00286_stress.csv
287,motif1_cable,1,True,1.3952731939238208,1.0111661976912112,7.375485328273671,552.0412671602785,1.3277912843190267,0.06826879,2307.7787543,2232.50129811,24.01537008,143.90747031,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00287_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00287_stress.csv
288,motif1_cable,1,True,1.0031371567152128,1.1812022206221893,72.00756952123456,863.3307011798934,1.3857851151330522,0.12544668,3085.49811553,2798.97929616,0.0,144.10296114,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00288_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00288_stress.csv
240,motif1_cable,1,True,1.2209520359880126,0.9310432395730455,10.071685745584926,1038.5395063929473,1.2602406500114431,0.16778808,4103.01375064,1623.42174475,585.02429036,81.70571347,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00240_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00240_stress.csv
290,motif1_cable,1,True,1.2128636989728208,1.2884954041328438,38.04686290845026,1033.189562579243,1.2907378743052191,0.07546628,5388.0129876,4278.01649254,217.08811462,223.46322877,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00290_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00290_stress.csv
291,motif1_cable,1,True,0.9149883675691359,1.1005540995676135,57.40694715376272,880.7448138473198,1.3664519521552427,0.1734636,2547.16068731,2056.22738921,66.05934062,97.20377461,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00291_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00291_stress.csv
284,motif1_cable,1,True,0.9576161860439927,1.4144034942685675,22.263452455549015,723.6172305096432,1.3917859539694586,0.03882515,6243.44028676,6217.39221114,0.0,376.99601735,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00284_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00284_stress.csv
293,motif1_cable,1,True,1.243799267464753,0.9147080268463648,79.65430146653246,890.762632777914,1.2650160659776915,0.15178939,3013.33502258,1776.03537106,590.17138522,91.78009936,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00293_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00293_stress.csv
294,motif1_cable,1,True,1.0829902705257743,1.2230424048568886,88.34258371001826,964.1146568217589,1.3725626740015215,0.10844108,3598.37995391,3338.27647672,0.0,174.51608025,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00294_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00294_stress.csv
295,motif1_cable,1,True,1.3064217499176343,0.9887962392671678,6.9083784796023995,603.566637561752,1.3778387313921872,0.1100076,1895.18331991,1762.10200621,0.0,110.71275504,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00295_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00295_stress.csv
292,motif1_cable,1,True,0.9783999978785536,1.352080070347629,31.220220168195528,537.1074528835836,1.359704421832208,0.03659832,5156.9937675,5137.84724206,0.0,293.5451291,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00292_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00292_stress.csv
297,motif1_cable,1,True,1.0869618817509243,1.4401291002044099,45.39264468084494,744.4578500250789,1.3804673394190181,0.03788668,6640.63107919,6619.3171205,0.0,379.22272874,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00297_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00297_stress.csv
298,motif1_cable,1,True,1.148045127882054,1.4714386495165739,51.70204321195984,734.9206781839029,1.349568861773131,0.03431042,7183.18517468,7165.80137324,0.0,406.07606024,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00298_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00298_stress.csv
299,motif1_cable,1,True,1.3080416685005156,1.4451199547801017,89.08871611470106,439.84459922074456,1.3168832267591755,0.0213269,6841.88222804,6743.17291702,36.41660395,362.83368358,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00299_verts.csv,/Users/duch/Documents/Github/fabsim-example-project/sensitivity_analysis/data/00299_stress.csv
300,motif2_nocable,2,False,0.8810524219177519,0.8720690697199269,17.189044343148783,1160.968890041901,1.325,0.3519954,1640.92099604,1194.95011576,0.0,28.19419228,,
301,motif2_nocable,2,False,0.8770708099674294,1.3637448673884978,16.116723221317713,365.7517285081748,1.325,0.07141818,2701.73966822,2336.69704099,0.0,127.73687552,,
302,motif2_nocable,2,False,1.280662475727813,0.9277963942295541,76.41673671794292,355.06309716235364,1.325,0.029929,4015.52123219,4002.39237236,0.0,210.2324014,,
303,motif2_nocable,2,False,0.9952817592616559,0.8453746103148274,17.748424027316414,821.3440159107117,1.325,0.25008177,1910.62257599,1449.70535773,0.0,63.57653889,,
