motif,sf,knit_dir,pressure,crown_height,mean_stress,max_stress,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
1,1.3399999999999999,0.0,1000.0,0.06159932,5171.18517009,5224.5326436,0.43497185868677146,0.4241485440003243,0.052854969005044,0.05525917093395815,5166.86849111111,5208.885216666667,2798.5287355555556,6009.836185416665,False
1,1.35,0.0,1000.0,0.05968395,5336.14752954,5387.1100934,0.4220875628789832,0.41171243496596066,0.05285290140211481,0.05525990446071328,5332.079148888889,5372.113202083333,2886.6323044444453,6198.201160416666,False
1,1.3599999999999999,0.0,1000.0,0.05786624,5502.79110508,5551.52927369,0.4098022887973438,0.3794670389972236,0.0528510680597375,0.05526060392406526,5498.9517444444455,5537.14116875,2975.6911977777777,6388.64060625,False
1,1.37,0.0,1000.0,0.05613958,5671.07858848,5717.73930667,0.43269324239434614,0.3687173924032355,0.05284944136784131,0.05526128779228893,5667.450793333334,5703.921641666667,3065.680744444444,6581.1000375,False
1,1.38,0.0,1000.0,0.05449784,5840.97660199,5885.69453958,0.42053035556886054,0.35844960913752,0.052847988750626976,0.05526193601479582,5837.5445199999995,5872.412087500001,3156.5788777777784,6775.530577083334,False
1,1.39,0.0,1000.0,0.05293539,6012.45524636,6055.35396779,0.4089146539597072,0.34863606754246534,0.05284668979506966,0.0552625464383919,6009.204504444444,6042.574285416667,3248.3658444444436,6971.888383333334,False
1,1.4,0.0,1000.0,0.05144706,6185.48770227,6226.68072011,0.39781932430183004,0.3392546000044172,0.05284552944012498,0.055263135718540565,6182.405195555555,6214.373908333332,3341.0239355555555,7170.13401875,False
2,0.8,0.0,1000.0,0.0,1531.73669326,1531.73669326,0.0,0.0,,,1531.7366999999995,1531.7366999999997,-1171.3278999999998,-1733.3619,True
2,0.81,0.0,1000.0,0.0,1463.23402448,1463.23402448,0.0,0.0,,,1463.2339999999997,1463.2340000000002,-1118.9435000000003,-1655.8421,True
2,0.8200000000000001,0.0,1000.0,0.0,1393.88039087,1393.88039087,0.0,0.0,,,1393.8804000000002,1393.8804,-1065.9084,-1577.3593,True
2,0.8300000000000001,0.0,1000.0,0.0,1323.67579243,1323.67579243,0.0,0.0,,,1323.6757999999998,1323.6758,-1012.2225000000004,-1497.9135000000003,True
2,0.8400000000000001,0.0,1000.0,0.0,1252.62022916,1252.62022916,0.0,0.0,,,1252.6201999999998,1252.6202,-957.8859000000001,-1417.5048,True
2,0.8500000000000001,0.0,1000.0,0.41034845,991.36236397,1407.15006871,1.4756555827060607,1.2585980756580362,0.065171346489399,0.05559320616219915,1004.1699945945944,1126.6557024999997,906.0833243243245,1203.0038200000001,False
2,0.86,0.0,1000.0,0.40119353,987.80141583,1344.88951272,1.4804998719383908,1.1182891496494576,0.053471730560880594,0.05559319526712383,1000.7094864864862,1128.7812900000001,906.8320837837838,1211.8211075,False
2,0.87,0.0,1000.0,0.39208915,985.08585437,1316.089868,1.4656917042310929,1.4636404067175508,0.053485474546608146,0.05559187844320861,995.2553289473686,1131.753055,907.2244157894738,1221.4484400000001,False
2,0.88,0.0,1000.0,0.38302861,983.46472083,1306.6547325,1.469123477549353,1.4685348353184147,0.053494517301859154,0.05558931077053622,993.6267605263157,1135.6285025000002,908.7523157894735,1231.9179250000002,False
2,0.89,0.0,1000.0,0.37400721,983.09267897,1310.16070587,1.4716724734255773,1.2804704998293286,0.05349936465108731,0.05558543032520162,996.7898282051278,1139.9460707317073,913.6189666666664,1239.3219585365853,False
2,0.9,0.0,1000.0,0.36502121,984.10462444,1314.54023622,1.4732867226569033,1.2149580776609938,0.05350080941536634,0.05558024506939454,997.6027717948717,1145.5510365853656,916.1197025641026,1251.6951317073172,False
2,0.91,0.0,1000.0,0.35606757,986.63037958,1319.84980815,1.4739072848780534,1.2855203008953762,0.05349939338428566,0.05557380186284779,999.7855846153846,1152.263236585366,919.2777641025642,1265.0675317073171,False
2,0.92,0.0,1000.0,0.34714401,990.80093847,1326.15080094,1.3459406856352873,1.402296589868685,0.05349542002073228,0.05556617862157646,994.7439075,1160.1563,918.9191375,1279.5051536585365,False
2,0.93,0.0,1000.0,0.33824897,996.75090688,1333.5102193,1.4719275508585101,1.4148962473789208,0.05348902644003361,0.05555745959976966,1000.2176650000001,1164.3126380952383,923.7372224999999,1290.4818857142857,False
2,0.9400000000000001,0.0,1000.0,0.32938167,1004.61877883,1342.00131357,1.4692005416485223,1.2847890388759826,0.05348026777941138,0.0555477368593551,1007.59133,1173.4174477272727,929.5067325,1306.4012386363638,False
2,0.95,0.0,1000.0,0.32054221,1014.54583666,1351.70414888,1.3393504757863048,1.282114466840412,0.053469156347593444,0.05553711613966983,1017.0292274999999,1185.6617863636363,936.3210900000001,1324.6880159090908,False
2,0.96,0.0,1000.0,0.31173166,1026.67409098,1362.70611952,1.4599391434256646,1.2782117698803848,0.05345571514333496,0.05552570360892914,1028.69652,1199.423309090909,944.2771974999999,1344.3720772727272,False
2,0.97,0.0,1000.0,0.30295213,1041.14364962,1375.10241969,1.4532669351232324,1.2729573180012348,0.05343998241759093,0.05551360935858791,1042.7561275,1214.801384090909,953.47577,1365.5574045454543,False
2,0.98,0.0,1000.0,0.29420691,1058.08960594,1388.99637716,1.4451410009508967,1.4489336198409066,0.05342203259394702,0.05550094110751412,1059.3648475000002,1231.9009977272726,964.021255,1388.3569477272729,False
2,0.99,0.0,1000.0,0.28550059,1077.63875033,1404.49964739,1.4355017592397405,1.4387340983150012,0.05340199019100904,0.05548781291432426,1086.3221487804879,1247.3387266666666,979.881480487805,1409.46002,False
2,1.0,0.0,1000.0,0.2768391,1099.90627942,1421.73216688,1.424290678423905,1.4268628453285976,0.05338001334475142,0.055474340722843185,1108.3382341463414,1268.346871111111,993.3360682926827,1435.9886488888887,False
2,1.01,0.0,1000.0,0.26822987,1124.99302381,1440.82179749,1.4114564191844794,1.2379036243188026,0.05335631589886568,0.05546064086780479,1128.4974119047617,1291.422075555556,1005.8754309523812,1464.523388888889,False
2,1.02,0.0,1000.0,0.25968186,1152.98387106,1461.90357684,1.3969642949046694,1.2254945002486164,0.05333114315811131,0.05544682483447989,1156.598030952381,1316.6872600000002,1022.879273809524,1495.2107955555557,False
2,1.03,0.0,1000.0,0.25120557,1183.94786947,1485.11849561,1.3807895917600392,1.2116071050081032,0.05330478264793707,0.05543301459888626,1187.7358642857143,1344.2672955555556,1041.7828880952381,1528.203217777778,False
2,1.04,0.0,1000.0,0.24281303,1217.9398726,1510.61173836,1.3629305501975273,1.196254011028141,0.05327754211912672,0.05541931821429675,1221.9482476190476,1374.2874555555557,1062.6951238095237,1563.6566999999998,False
2,1.05,0.0,1000.0,0.23451771,1255.00293771,1538.53035382,1.2310212586347071,1.1183437710816662,0.05324974825082771,0.055405853783931376,1259.2577095238096,1406.8711933333332,1085.7201595238096,1601.728351111111,False
2,1.06,0.0,1000.0,0.22633438,1295.17049031,1569.02036499,1.322261112129148,1.320463148717289,0.05322172986996347,0.055392719994173965,1299.6776976190476,1442.1376333333333,1110.9554761904762,1642.5730644444448,False
2,1.07,0.0,1000.0,0.2182788,1338.46756805,1602.22338615,1.299563905717048,1.297203802692681,0.05319381397212527,0.05538001697689957,1351.2590477272727,1480.1987777777777,1142.6837772727274,1686.3398977777774,False
2,1.08,0.0,1000.0,0.21036747,1384.91095528,1638.27287971,1.275408458665136,1.272586569413254,0.05316630845976693,0.05536783829063886,1397.586109090909,1521.156551111111,1172.4219045454547,1733.168002222222,False
2,1.09,0.0,1000.0,0.2026172,1434.50841383,1677.29024981,1.249916514225726,1.0991678614328446,0.053139494974607356,0.055356266965866555,1447.0288,1565.0996466666663,1204.6022409090908,1783.1825911111112,False
