sample_id,E1,r,E2,nu,e2_over_e1,grid,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,apex_k_min,apex_k_max,apex_k_ratio,apex_k_max_dir_deg,apex_k_x,apex_k_y,apex_k_wale,apex_k_course,apex_H_apex,apex_n_fit,apex_fit_rms_mm
8363,1000.0,0.4,2500.0,0.27142857142857146,2.5,A,2.281654337368695,0.05295242237299808,1.8026311718507915,0.05467316291671028,994.5582075,1191.1962024390243,1.2209281941363064,1.461101308465533,1.1967135458765672,179.8271994196889,1.461099125351261,1.2209308296953554,1.2209308296953554,1.461099125351261,1.3410147513009196,35,0.1878171406064814
8359,20000.0,0.625,32000.0,0.5,1.6,A,1.002402295726285,0.052864004389095824,0.7839358928754312,0.055292492178248394,5816.667017777779,5847.900358333332,0.263263816094476,0.2666746877150698,1.0129560973140712,179.06549920296723,0.26667378044840806,0.2632647241570705,0.2632647241570705,0.26667378044840806,0.26496925190477294,35,0.017809535781845166
8365,1000.0,0.4,2500.0,0.3857142857142858,2.5,A,2.2076641911556494,0.053037392185854196,1.7709428180461102,0.05480553588461176,1032.76046,1203.6575744186048,1.2004541696926208,1.4168638882356326,1.1802732032647478,179.82975186045357,1.4168619786560404,1.2004564339310138,1.2004564339310138,1.4168619786560404,1.3086590289641267,35,0.16571462190842795
8367,1000.0,0.4,2500.0,0.5,2.5,A,2.117336234034085,0.053115887195187415,1.7239159061122282,0.054931000511369454,1091.2869325,1244.5210818181818,1.166202325205009,1.3540300016738087,1.1610592539641704,179.83052721273705,1.3540283592176183,1.166204229771794,1.166204229771794,1.3540283592176183,1.260116163439409,35,0.1432249244951553
8368,2000.0,0.4,5000.0,0.1,2.5,A,2.1159029604852972,0.05316165764426051,1.675975019868005,0.054941275045653507,1187.3814097560976,1413.0358295454546,1.0833738272228863,1.2764599812511193,1.1782267110173676,179.84015067270124,1.2764584790211204,1.0833755458330894,1.0833755458330894,1.2764584790211204,1.1799169042370028,35,0.128731894051028
8369,2000.0,0.4,5000.0,0.15714285714285714,2.5,A,2.079620347005439,0.053178758682170396,1.6591732023284467,0.0549812456004399,1205.3817292682927,1416.8334511111111,1.0734372574896887,1.2560879967249443,1.1701550211350011,179.83896231675507,1.2560865544448547,1.0734388963626997,1.0734388963626997,1.2560865544448547,1.1647626271073164,35,0.12346888385720232
8370,2000.0,0.4,5000.0,0.2142857142857143,2.5,A,2.0416954923977544,0.05319339095255543,1.6401967039916863,0.055019153012254844,1223.9706333333331,1427.4082044444442,1.0614727775955746,1.2332677433428947,1.1618458517009418,179.83744915029556,1.2332663611396224,1.0614743368971575,1.0614743368971575,1.2332663611396224,1.1473702604692346,35,0.11806548355954825
8371,2000.0,0.4,5000.0,0.27142857142857146,2.5,A,2.001711101399968,0.053204923676328834,1.618727808439776,0.05505491598897973,1251.501038095238,1443.3992666666666,1.047154238770915,1.2076103622934027,1.1532306489164588,179.83552532338308,1.2076090405485478,1.0471557184369937,1.0471557184369937,1.2076090405485478,1.1273823005321588,35,0.11251229561036802
8373,2000.0,0.4,5000.0,0.3857142857142858,2.5,A,1.9135399238435165,0.05321585804890805,1.5665900824113212,0.05511959013295645,1326.002785714286,1495.5426511111114,1.0096578740523652,1.1457493034234887,1.1347896479278734,179.82980435366042,1.1457481029770864,1.0096591952814666,1.0096591952814666,1.1457481029770864,1.077703588737927,35,0.10088285410444511
8364,1000.0,0.4,2500.0,0.3285714285714286,2.5,A,2.2462505372139403,0.05299497217769739,1.78832987921288,0.05474007885149147,1011.69386,1195.0826809523808,1.2120611577801332,1.4408695100097466,1.1887762434765845,179.8286342861505,1.4408674645151724,1.2120636062260064,1.2120636062260064,1.4408674645151724,1.32646533389494,35,0.17679636324161707
8374,2000.0,0.4,5000.0,0.44285714285714284,2.5,A,1.8640785668548074,0.05321362101427462,1.534737126565109,0.055148214393982764,1378.8133232558139,1534.8686822222223,0.9852258205812955,1.108185637324224,1.1248036888338764,179.82543624305973,1.1081844962913767,0.9852270646373014,0.9852270646373014,1.1081844962913767,1.0467057289527597,35,0.09475426220103057
8372,2000.0,0.4,5000.0,0.3285714285714286,2.5,A,1.9591837122106985,0.05321266853475985,1.594364092519035,0.05508843831164245,1285.0501547619049,1465.6828955555554,1.0300633417450515,1.178637072321408,1.1442374702167875,179.83312449316222,1.1786358124356484,1.0300647406911903,1.0300647406911903,1.1786358124356484,1.1043502070332298,35,0.1067933032363893
