sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,cable_angle,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path,H_mean,H_max,K_mean,K_max,k1_mean,k2_mean,H_mean_x0,H_mean_y0,H_crown
1293,motif1_nocable,1,False,1.040299144469042,1.3202259680050346,10.239831950527703,777.6899206858023,0.0,0.0593189,4697.39248308,4653.52317576,0.0,252.12075416,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01293_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01293_stress.csv,,,,,,,0.3326085131071974,0.3237235675374004,
1317,motif1_nocable,1,False,1.2141392304613383,0.8083031437680084,18.27584800551202,402.0661951311282,0.0,0.13577372,2755.19730622,1571.28772832,0.0,84.97182588,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01317_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01317_stress.csv,,,,,,,4.940239847381069,4.790285396431871,
1333,motif1_nocable,1,False,1.0040165760502724,1.3026099680099843,14.398971084490883,223.88323615854728,0.0,0.01887868,4292.9005019,4288.05283015,0.0,233.58674816,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01333_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01333_stress.csv,,,,,,,0.1055902347941294,0.1046489859791231,
1324,motif1_nocable,1,False,1.206684063788799,0.8818097320786018,65.37276294107279,465.31131924481696,0.0,0.1537458,2133.96199011,1497.66200161,0.0,75.56165219,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01324_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01324_stress.csv,,,,,,,2.77716645733358,4.143290748384787,
1320,motif1_nocable,1,False,0.9651868963016056,1.021195382484048,59.95124759405183,728.6996371750677,0.0,0.21603012,1489.50823866,1225.23841776,0.0,50.23890501,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01320_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01320_stress.csv,,,,,,,1.053113826335676,1.1566938928784956,
1334,motif1_nocable,1,False,1.2287133443626566,1.1306113706408012,0.5163339275519865,1028.2012524394204,0.0,0.12683016,2520.94564668,2354.87176488,0.0,124.81408567,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01334_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01334_stress.csv,,,,,,,0.6914224924699882,0.6748058939162066,
1336,motif1_nocable,1,False,0.9002688413626757,1.2664301421451696,49.07585226227001,1155.7404121284112,0.0,0.10584695,4219.85859727,4079.73119894,0.0,226.29143856,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01336_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01336_stress.csv,,,,,,,0.5783560562898785,0.5826613368930454,
1335,motif1_nocable,1,False,0.9689406489002704,1.2354458563275967,18.8850711772468,718.474078151714,0.0,0.08006009,3495.09912491,3415.15955411,0.0,177.70233966,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01335_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01335_stress.csv,,,,,,,0.4535674081172957,0.4308508434082251,
1340,motif1_nocable,1,False,1.376108093608836,1.3399807197203786,39.0034498107181,608.4525018857013,0.0,0.03683616,5178.30044107,5158.31027257,0.0,277.87642019,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01340_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01340_stress.csv,,,,,,,0.205588110022552,0.2051214038336198,
1339,motif1_nocable,1,False,1.0581283394530316,1.1926505183462548,12.590719847323168,892.1126001737657,0.0,0.1110737,3001.5504651,2892.18002399,0.0,142.62855137,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01339_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01339_stress.csv,,,,,,,0.6271609978038943,0.584729625026438,
1342,motif1_nocable,1,False,0.8159177653990857,0.8193878638554052,32.995911596651375,823.8770276341513,0.0,0.0,2089.22296291,2089.22296291,0.0,116.18585813,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01342_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01342_stress.csv,,,,,,,2.0501380188617725e-15,2.275281746083065e-15,
1341,motif1_nocable,1,False,1.2549867840289626,1.3885348806715936,70.76516460909352,469.2165113922959,0.0,0.02716535,5759.75947436,5749.79164812,0.0,307.42506482,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01341_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01341_stress.csv,,,,,,,0.1519563095874774,0.1519163939512501,
1343,motif1_nocable,1,False,1.3185763235952788,1.2024031177284895,25.99199156096168,420.3219886634198,0.0,0.03914452,3139.25530587,3120.25558162,0.0,176.83332787,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01343_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01343_stress.csv,,,,,,,0.2182385133130336,0.2178009869881347,
1344,motif1_nocable,1,False,1.027989375233445,1.0635856529731222,69.13705076072057,931.4516849734952,0.0,0.19426037,1869.92724616,1623.44341961,0.0,70.57540216,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01344_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/01344_stress.csv,,,,,,,0.9570080254089758,1.056281270565338,
