sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path
2086,material_ext_nocable,3,False,0.847732352862771,1.26332650595185,26.935346716204513,932.7020313341621,1989.6753578933922,5438.797836864149,0.36582998993038146,0.2385368723222653,0.0,1642.56077322,1642.56077322,0.0,109.24174155,,,,
2094,material_ext_nocable,3,False,1.0564826378441918,0.8431261646656529,19.52504600931462,965.2692023959959,18397.85398860396,8854.46148113293,2.077806089936251,0.20576968207056856,0.14851079,910.14270467,652.67163403,13.51090484,30.94833703,,,,
2096,material_ext_nocable,3,False,0.8832830509082512,1.086179471258645,50.74058611942022,584.2457433813088,5859.412212393481,1444.9415269863773,4.05512064188098,0.10884648960698586,0.04409354,5392.372733,5338.55665931,3.41566444,289.27690809,,,,
2099,material_ext_nocable,3,False,1.2386358970236708,1.3328444423787065,81.6252643740802,516.2067695041312,14017.992823438073,9372.281439059163,1.4956862866940615,0.17936647494646923,0.03522107,2582.45734543,2559.30097363,1.00923656,136.37070965,,,,
2098,material_ext_nocable,3,False,0.8956064616992734,1.0285603675899582,70.29138056378602,750.9945414823724,13144.735500268827,17278.803910987674,0.7607433690424618,0.2192082159624927,0.01403358,5143.41730173,5138.19108224,0.32740337,273.81601662,,,,
2097,material_ext_nocable,3,False,1.3215200942538199,1.1157848706045255,20.224243657650337,569.319332935791,17630.922310271217,8945.7347774975,1.9708746960194732,0.25350019829619896,0.01280528,7291.0362746,7287.96364899,0.12679017,407.38937135,,,,
2102,material_ext_nocable,3,False,0.9715164260932868,1.1312088018429438,41.85910114338783,888.7875185107947,15801.76973731289,8762.967561941992,1.8032441208547627,0.2389926055808643,0.12653153,2096.05501084,1942.17985475,0.0,107.09880004,,,,
2104,material_ext_nocable,3,False,1.296054247268377,1.231108785848468,75.80016110004789,277.58560800759125,6281.661860902294,6438.831016589965,0.9755904207949058,0.2944432522320554,0.24638002,1532.22600101,1058.62855683,0.0,45.95759422,,,,
2103,material_ext_nocable,3,False,1.1481223997268084,1.3665439705355666,5.6743873061531405,328.3731245389755,2409.8574605689646,7356.374510289756,0.32758765302095044,0.09793452183009996,0.26200727,2379.10831402,1929.65777988,0.0,91.21808736,,,,
2100,material_ext_nocable,3,False,1.2339686776963399,1.1444664468932941,65.13364911019823,893.020474916906,12734.918175466097,15010.710451973311,0.8483887698861023,0.16485719071573515,0.05490133,4136.02155498,4095.22985854,0.0,223.80091694,,,,
