face,region,dist_to_seam_M,dist_to_seam_C,strain_max,strain_min,resid_rot
343,2,0.042520985,0.32855455,0.15359195,-0.074474238,0.11769267
344,2,0.13297399,0.53935853,0.25418528,-0.11710644,0.18022989
345,2,0.038952815,0.36204765,0.19153636,-0.095875589,0.14841004
346,2,0.17152743,0.39731189,0.2080307,-0.052556674,0.14766479
347,2,0.075590303,0.40346824,0.22853121,-0.081420905,0.15289051
348,2,0.13960892,0.50096053,0.23874374,-0.11884461,0.18225039
349,1,0.18296394,0.17174496,0.05520469,-0.16076367,0.13800021
350,1,0.045675868,0.10873368,0.069813474,-0.14644512,0.12597265
351,2,0.042947214,0.37513116,0.21985707,-0.10793241,0.16921073
352,2,0.11575881,0.29568009,0.20767952,-0.057176779,0.13525563
353,2,0.1911736,0.51846867,0.26685449,-0.092131951,0.16205672
354,2,0.044995779,0.28998216,0.15482781,-0.086491845,0.11889842
355,2,0.037180221,0.41877113,0.20394334,-0.11585427,0.16471872
356,2,0.048152146,0.2367981,0.17126012,-0.057963163,0.10789821
357,2,0.11617596,0.46272335,0.25604611,-0.10221299,0.1678619
358,2,0.23825285,0.40436792,0.22643945,-0.023992545,0.15165228
359,1,0.017045644,0.090805833,0.034109398,-0.11395381,0.097261317
360,1,0.11699638,0.28517054,0.049696848,-0.13133583,0.12994861
361,1,0.16141811,0.021989732,0.071174756,-0.13056222,0.12800018
362,2,0.021267908,0.26625753,0.23021295,-0.091193309,0.15228331
363,2,0.038851654,0.13075929,0.22103608,-0.051446256,0.10249187
364,2,0.12135106,0.19656731,0.11965841,0.016395893,0.1007439
365,2,0.28760611,0.44077633,0.22218938,-0.025857439,0.17296427
366,1,0.043188729,0.33250459,0.080569111,-0.12381746,0.13680476
367,1,0.16293332,0.084410093,0.078733383,-0.13879196,0.12739496
368,2,0.13549546,0.56955488,0.26494505,-0.11485112,0.18095756
369,2,0.022459894,0.45148,0.27281453,-0.11224708,0.19499474
370,2,0.20891749,0.50439136,0.21751506,-0.082199435,0.13357274
371,2,0.16230295,0.23173085,0.20980343,0.0083878299,0.1523784
372,1,0.1150544,0.020835255,0.048900467,-0.11303308,0.11394988
373,2,0.035876627,0.41330209,0.21341778,-0.10478853,0.15360957
374,2,0.14877205,0.4754161,0.24020512,-0.11511345,0.18388932
375,2,0.034663677,0.44111386,0.22402549,-0.11005034,0.177913
376,2,0.16437553,0.55052898,0.27262385,-0.11247553,0.18419927
377,2,0.098121258,0.46593365,0.23965495,-0.11748248,0.1854115
378,2,0.10087479,0.42030144,0.21178,-0.10707491,0.17006942
379,1,0.045167514,0.023191225,0.041332486,-0.11586639,0.11010811
380,1,0.091510867,0.14901091,0.102628,-0.13624489,0.13087237
381,2,0.051880631,0.13898901,0.13759308,-0.061033932,0.080174423
382,1,0.041538708,0.052429609,0.11278384,-0.13166838,0.13037733
383,1,0.025321304,0.28651038,0.065522342,-0.13018023,0.12099355
384,1,0.093197339,0.32083645,0.065994028,-0.12663713,0.12962103
385,1,0.29327026,0.12125336,0.057351484,-0.15730527,0.13924802
386,2,0.2006673,0.36385624,0.27992477,0.0032283764,0.15655231
387,0,0.16554925,0.020497306,0.059410701,-0.11215035,0.11229478
388,1,0.084376569,0.23031919,0.067171117,-0.13604897,0.11950096
389,2,0.048880867,0.12511871,0.12870002,-0.049767723,0.091301129
390,2,0.21793657,0.37376575,0.23940374,-0.03261373,0.1517797
391,2,0.14564342,0.46046622,0.2326545,-0.083794821,0.15957051
392,1,0.043533163,0.37330646,0.074360895,-0.12104735,0.12902351
393,2,0.042716423,0.34236318,0.20845894,-0.083995311,0.15650178
394,2,0.07424559,0.46265622,0.22356953,-0.12212391,0.1808543
395,1,0.042622735,0.041648384,0.033048298,-0.11553927,0.11333646
