factor,multiple,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
r,2.0,0.50028,0.38192086,0.6677370531096989,1852.06532357,1064.84480611,1.7392819244109445,49.00765685,0.004153564369544075,0.006555428547661819,0.007261946446237069,0.025075902565702766,0.08832602673783364,1.2151356911473217,0.21428412036543953,2.215987261929204,10.341350811017005,2.119601031739163
r,-2.0,-0.50028,0.39191442,0.68520944334383,1571.96670762,960.5927034,1.6364549741592385,38.26823548,0.005379596949032803,0.008424852649423609,0.009405498860850625,0.024966452410754885,0.09652442014684628,1.1397587346108247,0.17232693687882983,2.1071905323428193,12.227865071520837,2.1569379247743234
R,0.25,0.0005,0.38624964,0.6747155162984563,1634.20811401,1013.9432476,1.6117352897986792,43.86514212,0.0003738214797280929,0.00048548691022519104,0.0002887814882249744,0.024650938389259424,0.09197738939522314,1.1813486084298932,0.20333069122283431,2.159366525636952,10.619973367770916,2.12011944206924
R,-0.25,-0.0005,0.38606302,0.6755696313357116,1633.30824715,1011.97311745,1.6139838292005806,43.68632736,0.0003737951200754285,0.00048548665326659873,0.0002893955775442583,0.024538533684829146,0.0916478292712648,1.1812353779676672,0.196179923888804,2.1662908320465304,11.042367583312945,2.1324446970631374
R,0.5,0.001,0.38634316,0.6742899429015721,1634.65703651,1014.92913765,1.6106119884339296,43.9547152,0.00074766974316318,0.0009709942677482655,0.0005769498519650863,0.024715407148706188,0.09214228163319219,1.1813951898343813,0.2068737463040624,2.1559166333647,10.421412440590409,2.113994605318891
R,-0.5,-0.001,0.38596992,0.675998179013353,1632.85730972,1010.98888072,1.6151090688130236,43.59708496,0.0007475659962426771,0.0009709620500307481,0.0005794074475973939,0.02449067212524004,0.09148314790476388,1.181169209222761,0.19257251440305234,2.1697659040424697,11.26726683072316,2.1386468681343085
R,1.0,0.002,0.38653062,0.6734417513149694,1635.55291726,1016.90257014,1.6083673748949505,44.13419219,0.0014954425350663784,0.0019420105319488741,0.0011514525803304422,0.02486067143607397,0.09247228523497025,1.1814691303855154,0.21389634710561278,2.149041913665418,10.047118348422817,2.1018249531593067
R,-1.0,-0.002,0.38578415,0.6768582854183122,1631.95336746,1009.02206133,1.6173614334149535,43.41893068,0.0014950295853782577,0.0019419036608955894,0.0011612843637500622,0.024411786522965214,0.09115400492268566,1.1810166466159333,0.18529177083868387,2.1767415223931827,11.747642717971901,2.1511326018563244
R,1.5,0.003,0.38671864,0.6725974867577372,1636.44611957,1018.87817258,1.6061254069524293,44.31410798,0.0022433199847896415,0.0029130577234754576,0.001723519841264089,0.025027389263748357,0.09280257571798317,1.1815175842589736,0.22083443704983052,2.1422007314681166,9.700483131554055,2.0897571163151762
R,-1.5,-0.003,0.38559894,0.6777223968135763,1631.04672973,1007.05748056,1.6196163190436903,43.24121941,0.0022423921102984684,0.002912803612792915,0.0017456414793049946,0.024355519830606864,0.09082515945047498,1.1808368635719437,0.177923072170457,2.1837506549734305,12.273566482042954,2.163721501203257
R,2.0,0.004,0.38690722,0.6717571256549127,1637.33676377,1020.85596594,1.603886168468778,44.49446547,0.002991302582945191,0.003884126397917571,0.0022931654359654293,0.02521514641792049,0.09313315369951781,1.181541152545436,0.22768946852330219,2.13539283656757,9.378531428865932,2.077789608165135
R,-2.0,-0.004,0.38541429,0.6785905375297696,1630.13727325,1005.09511634,1.6218736383737067,43.06394819,0.0029896535684639943,0.003883681833170588,0.0023324938072627308,0.02432201764928659,0.09049659198594001,1.180629950845431,0.17046616551002813,2.190793736180834,12.851780466968705,2.1764216208154594
